"","features","metric","seed"
"112","OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,YearsWithCurrManager,YearsInCurrentRole,JobLevel,JobInvolvement,Age,JobSatisfaction,EducationField,ID,Department,DistanceFromHome_L","Kappa",56
"113","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears","Accuracy",57
"114","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,JobLevel,YearsInCurrentRole,YearsAtCompany,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,TrainingTimesLastYear,MonthlyRate_L,MonthlyRate","Kappa",57
"115","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,Age,JobLevel,YearsAtCompany,YearsWithCurrManager,YearsInCurrentRole,StockOptionLevel,JobInvolvement,DistanceFromHome_L,JobSatisfaction,DistanceFromHome,TrainingTimesLastYear,Department,ID,EnvironmentSatisfaction,Education,JobRole,NumCompaniesWorked,RelationshipSatisfaction,BusinessTravel,HourlyRate,HourlyRateLog_L,WorkLifeBalance,MonthlyRate,MonthlyRate_L,EducationField,EmployeeNumber,MaritalStatus,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,Gender,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",58
"116","OverTime,TotalWorkingYears,MonthlyIncome,MonthlyIncome_L,Age,JobLevel,YearsAtCompany,YearsWithCurrManager,YearsInCurrentRole,StockOptionLevel,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,ID,Department,RelationshipSatisfaction,Education,EnvironmentSatisfaction,JobRole,NumCompaniesWorked,BusinessTravel,WorkLifeBalance,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,EmployeeNumber,EducationField,DailyRate,DailyRateLog_L,MaritalStatus,YearsSinceLastPromotion,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,Gender","Kappa",58
"117","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,Age,YearsAtCompany,JobLevel,YearsInCurrentRole,StockOptionLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,Department,TrainingTimesLastYear,JobRole,EducationField,NumCompaniesWorked,RelationshipSatisfaction,MonthlyRate,EnvironmentSatisfaction,MonthlyRate_L,ID,Education,HourlyRate,HourlyRateLog_L,Gender,YearsSinceLastPromotion,MaritalStatus,DailyRate,DailyRateLog_L,BusinessTravel,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",59
"118","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,Age,YearsAtCompany,JobLevel,YearsInCurrentRole,StockOptionLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,TrainingTimesLastYear,Department,EnvironmentSatisfaction,JobRole,EducationField,NumCompaniesWorked,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,ID,Education,HourlyRate,HourlyRateLog_L,Gender,YearsSinceLastPromotion,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,BusinessTravel,EmployeeNumber,PerformanceRating","Kappa",59
"119","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,JobLevel,OverTime,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,DistanceFromHome_L,DistanceFromHome,JobSatisfaction,JobRole,Department,EnvironmentSatisfaction,EducationField,MonthlyRate,Education,MonthlyRate_L,ID,WorkLifeBalance,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,TrainingTimesLastYear,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,NumCompaniesWorked,PerformanceRating,BusinessTravel,MaritalStatus,RelationshipSatisfaction,Gender","Accuracy",60
"120","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,JobLevel,OverTime,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,DistanceFromHome_L,DistanceFromHome,JobSatisfaction,JobRole,EnvironmentSatisfaction,Department,HourlyRate,HourlyRateLog_L,EducationField,Education,ID,MonthlyRate,MonthlyRate_L,WorkLifeBalance,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,TrainingTimesLastYear,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,NumCompaniesWorked,PerformanceRating,BusinessTravel,MaritalStatus,RelationshipSatisfaction,Gender","Kappa",60
"121","OverTime,MonthlyIncome_L,MonthlyIncome","Accuracy",61
"122","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome_L,DistanceFromHome","Kappa",61
"123","TotalWorkingYears,OverTime,MonthlyIncome_L","Accuracy",62
"124","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,JobLevel,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,EducationField,Department,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,JobRole","Kappa",62
"125","StockOptionLevel,TotalWorkingYears,MonthlyIncome_L","Accuracy",63
"126","StockOptionLevel,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,Age,OverTime,JobLevel,YearsAtCompany,JobInvolvement,YearsInCurrentRole,YearsWithCurrManager,JobSatisfaction,Department,DistanceFromHome_L","Kappa",63
"127","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,JobLevel,YearsAtCompany,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,JobRole,EnvironmentSatisfaction,Department,MonthlyRate,MonthlyRate_L,Education,NumCompaniesWorked,TrainingTimesLastYear,WorkLifeBalance,EducationField,ID,PerformanceRating,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,BusinessTravel,RelationshipSatisfaction,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,HourlyRate,HourlyRateLog_L,Gender,MaritalStatus","Accuracy",64
"128","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,JobLevel,YearsAtCompany,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,JobRole,Department,Education,NumCompaniesWorked,TrainingTimesLastYear,WorkLifeBalance,EducationField,ID,YearsSinceLastPromotion,PerformanceRating,DailyRate,DailyRateLog_L,BusinessTravel,RelationshipSatisfaction,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,HourlyRate,HourlyRateLog_L,MaritalStatus,Gender","Kappa",64
"129","StockOptionLevel,OverTime,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsWithCurrManager,JobInvolvement,Age,JobLevel,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,TrainingTimesLastYear,NumCompaniesWorked,EnvironmentSatisfaction,WorkLifeBalance,MonthlyRate,MonthlyRate_L,EducationField,RelationshipSatisfaction,Education,DailyRate,DailyRateLog_L,Gender,ID,YearsSinceLastPromotion,JobRole,PerformanceRating,BusinessTravel,EmployeeNumber,HourlyRate,HourlyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus","Accuracy",65
"130","StockOptionLevel,OverTime,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsWithCurrManager,JobInvolvement,Age,JobLevel,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,TrainingTimesLastYear,NumCompaniesWorked,EnvironmentSatisfaction","Kappa",65
"131","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,YearsAtCompany,Age,JobLevel,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,JobSatisfaction,JobInvolvement,JobRole,Department,TrainingTimesLastYear,DistanceFromHome_L,DistanceFromHome,EducationField,WorkLifeBalance,ID,Education,MonthlyRate,MonthlyRate_L,EnvironmentSatisfaction,NumCompaniesWorked,BusinessTravel,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,Gender,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,MaritalStatus,RelationshipSatisfaction,PerformanceRating","Accuracy",66
"132","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,YearsAtCompany,JobLevel,Age,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,JobSatisfaction,JobInvolvement,JobRole,Department,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,EducationField,WorkLifeBalance,ID,EnvironmentSatisfaction,Education,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,BusinessTravel,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,Gender,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,MaritalStatus,RelationshipSatisfaction,PerformanceRating","Kappa",66
"133","MonthlyIncome_L,MonthlyIncome,OverTime,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobLevel,StockOptionLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,WorkLifeBalance,EnvironmentSatisfaction,JobRole,ID,Education,MonthlyRate,MonthlyRate_L,TrainingTimesLastYear,EducationField,EmployeeNumber,HourlyRate,HourlyRateLog_L,BusinessTravel,DailyRate,DailyRateLog_L,NumCompaniesWorked,RelationshipSatisfaction,YearsSinceLastPromotion,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,Gender","Accuracy",67
"134","MonthlyIncome_L,MonthlyIncome,OverTime,TotalWorkingYears,YearsInCurrentRole,JobLevel,YearsAtCompany,StockOptionLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,WorkLifeBalance,JobRole,ID,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,Education,EducationField,TrainingTimesLastYear,EmployeeNumber,HourlyRate,HourlyRateLog_L,BusinessTravel,DailyRate,DailyRateLog_L,NumCompaniesWorked,RelationshipSatisfaction,YearsSinceLastPromotion,MaritalStatus,Gender,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Kappa",67
"135","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,JobLevel,YearsAtCompany,StockOptionLevel,JobInvolvement,YearsInCurrentRole,YearsWithCurrManager,Age,EnvironmentSatisfaction,JobRole,JobSatisfaction,TrainingTimesLastYear,Department,DistanceFromHome_L,DistanceFromHome,Gender,DailyRate,DailyRateLog_L,WorkLifeBalance,Education,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,BusinessTravel,ID,HourlyRate,HourlyRateLog_L,EducationField,NumCompaniesWorked,MaritalStatus,PerformanceRating,EmployeeNumber,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L","Accuracy",68
"136","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,JobLevel,YearsAtCompany,StockOptionLevel,JobInvolvement,YearsInCurrentRole,YearsWithCurrManager,Age,EnvironmentSatisfaction,JobRole,JobSatisfaction,TrainingTimesLastYear,DistanceFromHome,DistanceFromHome_L,Department,DailyRate,DailyRateLog_L,Gender,Education,MonthlyRate,MonthlyRate_L,WorkLifeBalance,RelationshipSatisfaction,BusinessTravel,ID,HourlyRate,HourlyRateLog_L,EducationField,NumCompaniesWorked,MaritalStatus,PerformanceRating,EmployeeNumber,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L","Kappa",68
"137","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobLevel,Age,JobInvolvement,YearsWithCurrManager,JobSatisfaction,Department,ID,DistanceFromHome_L,DistanceFromHome,EducationField,HourlyRateLog_L,HourlyRate,WorkLifeBalance,TrainingTimesLastYear,JobRole,MaritalStatus,DailyRate,DailyRateLog_L,Education,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,EnvironmentSatisfaction,RelationshipSatisfaction,EmployeeNumber,BusinessTravel,NumCompaniesWorked,Gender,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",69
"138","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobLevel,Age,JobInvolvement,YearsWithCurrManager,JobSatisfaction,Department,ID,DistanceFromHome_L,DistanceFromHome","Kappa",69
"139","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",70
"140","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,JobInvolvement,JobLevel,YearsAtCompany,YearsInCurrentRole,Age","Kappa",70
"141","OverTime,MonthlyIncome,MonthlyIncome_L","Accuracy",71
"142","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,JobLevel,YearsAtCompany,JobInvolvement,YearsInCurrentRole,YearsWithCurrManager,Age,JobSatisfaction,Department,MonthlyRate_L,MonthlyRate,EducationField,JobRole,EnvironmentSatisfaction,DistanceFromHome_L,DistanceFromHome,HourlyRate,HourlyRateLog_L,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Education,MaritalStatus,NumCompaniesWorked,DailyRate,DailyRateLog_L,ID,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating,EmployeeNumber,Gender,YearsSinceLastPromotion","Kappa",71
"143","StockOptionLevel,OverTime,MonthlyIncome_L,MonthlyIncome","Accuracy",72
"144","StockOptionLevel,OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,JobLevel,YearsAtCompany,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,JobRole,EnvironmentSatisfaction,Department,WorkLifeBalance,TrainingTimesLastYear,Education,DailyRate,DailyRateLog_L,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,ID,EducationField,Gender,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,YearsSinceLastPromotion,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,MaritalStatus,PerformanceRating","Kappa",72
"145","OverTime,MonthlyIncome_L,MonthlyIncome","Accuracy",73
"146","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,StockOptionLevel,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,JobRole,Department,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,WorkLifeBalance,EducationField,YearsSinceLastPromotion,NumCompaniesWorked,Education,TrainingTimesLastYear,Gender,RelationshipSatisfaction,DailyRate,DailyRateLog_L,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,ID,EmployeeNumber,MaritalStatus,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",73
"147","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,JobSatisfaction,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,DailyRate,DailyRateLog_L,JobRole,Department,ID,EducationField,Education,BusinessTravel,RelationshipSatisfaction,EmployeeNumber,HourlyRate,HourlyRateLog_L,EnvironmentSatisfaction,YearsSinceLastPromotion,PerformanceRating,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PercentSalaryHike_L,Gender","Accuracy",74
"148","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,DistanceFromHome_L,DistanceFromHome,JobSatisfaction,WorkLifeBalance,MonthlyRate,TrainingTimesLastYear,MonthlyRate_L,DailyRate,DailyRateLog_L,JobRole,Department,ID,Education,EducationField,BusinessTravel,RelationshipSatisfaction,EmployeeNumber,HourlyRate,HourlyRateLog_L,EnvironmentSatisfaction,YearsSinceLastPromotion,PerformanceRating,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,NumCompaniesWorked,Gender","Kappa",74
"149","TotalWorkingYears,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,OverTime,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobRole,Department,EducationField,JobSatisfaction,Education,TrainingTimesLastYear,WorkLifeBalance,EnvironmentSatisfaction,ID,BusinessTravel,DistanceFromHome,DistanceFromHome_L,NumCompaniesWorked,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,PerformanceRating,Gender,PercentSalaryHike,PercentSalaryHike_L,MonthlyRate,MonthlyRate_L,MaritalStatus,RelationshipSatisfaction,EmployeeNumber","Accuracy",75
"150","TotalWorkingYears,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,OverTime,JobLevel,YearsWithCurrManager,Age,JobInvolvement,Department,JobRole,JobSatisfaction,EducationField,Education,WorkLifeBalance,TrainingTimesLastYear,EnvironmentSatisfaction,BusinessTravel,ID,YearsSinceLastPromotion,DailyRate,DistanceFromHome,DistanceFromHome_L,NumCompaniesWorked,DailyRateLog_L,HourlyRate,HourlyRateLog_L,PerformanceRating,Gender,PercentSalaryHike,PercentSalaryHike_L,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,MaritalStatus,EmployeeNumber","Kappa",75
"151","OverTime,TotalWorkingYears,MonthlyIncome_L,YearsAtCompany,MonthlyIncome,YearsWithCurrManager,YearsInCurrentRole,StockOptionLevel,JobLevel,JobInvolvement,Age,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,HourlyRateLog_L,HourlyRate,EducationField,Department,DailyRate,DailyRateLog_L,ID,EnvironmentSatisfaction,NumCompaniesWorked,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,Education,WorkLifeBalance,YearsSinceLastPromotion,EmployeeNumber,MaritalStatus,BusinessTravel,RelationshipSatisfaction,PerformanceRating,Gender,PercentSalaryHike,PercentSalaryHike_L","Accuracy",76
"152","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsWithCurrManager,YearsInCurrentRole,StockOptionLevel,JobLevel,JobInvolvement,Age,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,HourlyRateLog_L,HourlyRate,EducationField,Department,ID,DailyRate,DailyRateLog_L,NumCompaniesWorked,Education,EnvironmentSatisfaction,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,WorkLifeBalance,YearsSinceLastPromotion,EmployeeNumber,MaritalStatus,BusinessTravel,PerformanceRating,Gender,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L","Kappa",76
"153","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,YearsAtCompany","Accuracy",77
"154","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobLevel,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department","Kappa",77
"155","OverTime,StockOptionLevel,YearsAtCompany,MonthlyIncome_L","Accuracy",78
"156","OverTime,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,TotalWorkingYears,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,EmployeeNumber,NumCompaniesWorked,WorkLifeBalance,HourlyRate,HourlyRateLog_L,ID,JobRole,RelationshipSatisfaction,EducationField,MonthlyRate,MonthlyRate_L,MaritalStatus,Education,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,Gender,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,BusinessTravel","Kappa",78
"157","MonthlyIncome,MonthlyIncome_L,OverTime,TotalWorkingYears,YearsInCurrentRole,JobLevel,YearsAtCompany,StockOptionLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,Department,ID,Education,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,JobRole,WorkLifeBalance,TrainingTimesLastYear,EducationField,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,BusinessTravel,DailyRate,DailyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,EmployeeNumber,Gender,PerformanceRating","Accuracy",79
"158","MonthlyIncome_L,MonthlyIncome,OverTime,TotalWorkingYears,JobLevel,YearsInCurrentRole,YearsAtCompany,StockOptionLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,Education,Department,ID,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,WorkLifeBalance,EducationField,JobRole,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,YearsSinceLastPromotion,BusinessTravel,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,EmployeeNumber,Gender,PerformanceRating","Kappa",79
"159","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,JobLevel,YearsInCurrentRole,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,MonthlyRate,Department,MonthlyRate_L,TrainingTimesLastYear,YearsSinceLastPromotion,EducationField,WorkLifeBalance,HourlyRate,HourlyRateLog_L,EmployeeNumber,DailyRate,DailyRateLog_L,ID,BusinessTravel,Gender,Education,RelationshipSatisfaction,NumCompaniesWorked,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,PerformanceRating","Accuracy",80
"160","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,JobLevel,YearsInCurrentRole,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,Department,EducationField,YearsSinceLastPromotion,WorkLifeBalance,DailyRate,TrainingTimesLastYear,HourlyRate,DailyRateLog_L,HourlyRateLog_L,EmployeeNumber,BusinessTravel,Gender,Education,ID,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,NumCompaniesWorked,MaritalStatus,PerformanceRating","Kappa",80
"161","OverTime,MonthlyIncome_L,MonthlyIncome,JobLevel,TotalWorkingYears,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,TrainingTimesLastYear,NumCompaniesWorked,DailyRateLog_L,DailyRate,JobRole,Department,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,WorkLifeBalance,ID,HourlyRate,HourlyRateLog_L,Education,MaritalStatus,Gender,EmployeeNumber,DistanceFromHome,DistanceFromHome_L,BusinessTravel,EducationField,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",81
"162","OverTime,MonthlyIncome_L,MonthlyIncome,JobLevel,TotalWorkingYears,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,TrainingTimesLastYear,JobSatisfaction,NumCompaniesWorked,JobRole,DailyRateLog_L,DailyRate,Department,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,Education,HourlyRate,WorkLifeBalance,MaritalStatus,ID,HourlyRateLog_L,Gender,EmployeeNumber,BusinessTravel,DistanceFromHome,DistanceFromHome_L,EducationField,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",81
"163","StockOptionLevel,OverTime,TotalWorkingYears,YearsAtCompany","Accuracy",82
"164","StockOptionLevel,OverTime,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobInvolvement,JobLevel,YearsWithCurrManager,Age,JobSatisfaction,WorkLifeBalance,DistanceFromHome,TrainingTimesLastYear,DistanceFromHome_L,EnvironmentSatisfaction,NumCompaniesWorked,Department,JobRole,Education,MaritalStatus,HourlyRate,HourlyRateLog_L,BusinessTravel,Gender,MonthlyRate,MonthlyRate_L,DailyRate,DailyRateLog_L,RelationshipSatisfaction,EducationField,ID,PerformanceRating,YearsSinceLastPromotion,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L","Kappa",82
"165","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome,MonthlyIncome_L,YearsInCurrentRole,YearsWithCurrManager,JobLevel,Age,StockOptionLevel,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,Department,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,Education,ID,WorkLifeBalance,HourlyRate,HourlyRateLog_L,EducationField,NumCompaniesWorked,DailyRate,DailyRateLog_L,JobRole,EmployeeNumber,YearsSinceLastPromotion,RelationshipSatisfaction,MaritalStatus,PerformanceRating,BusinessTravel,Gender,PercentSalaryHike,PercentSalaryHike_L","Accuracy",83
"166","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,YearsWithCurrManager,JobLevel,Age,StockOptionLevel,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,Education","Kappa",83
"167","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,JobRole,EducationField,ID,RelationshipSatisfaction,Education,TrainingTimesLastYear,NumCompaniesWorked,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,WorkLifeBalance,DailyRate,DailyRateLog_L,Gender,HourlyRate,HourlyRateLog_L,MaritalStatus,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",84
"168","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,StockOptionLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,JobRole,DistanceFromHome_L,DistanceFromHome,EducationField,Education,ID,YearsSinceLastPromotion,RelationshipSatisfaction,NumCompaniesWorked,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,WorkLifeBalance,DailyRate,DailyRateLog_L,Gender,HourlyRate,HourlyRateLog_L,MaritalStatus,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",84
