"","model","predicted_threshold","predicted_acc","predicted_sen","predicted_spec","actual_threshold","actual_acc","actual_sen","actual_spec","features","fL","usekernel","adjust","seed"
"60","rose",0.52,0.758895751319511,0.734545454545454,0.763389830508475,0.61,0.885057471264368,0.821428571428571,0.897260273972603,"Department,Gender,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",1,TRUE,5,1234
"61","up",0.46,0.708835214183653,0.796515151515151,0.69208649912332,0.67,0.890804597701149,0.75,0.917808219178082,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",3.5,FALSE,4,1234
"62","down",0.46,0.689229871985537,0.812121212121212,0.665862068965517,0.59,0.816091954022989,0.821428571428571,0.815068493150685,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,TRUE,3,1234
"63","rose",0.44,0.69984253346164,0.806212121212121,0.679304500292227,0.68,0.862068965517241,0.75,0.883561643835616,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",2,FALSE,3,1234
"64","up",0.41,0.667997667162395,0.83,0.637299824663939,0.66,0.896551724137931,0.75,0.924657534246575,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",5,TRUE,4.5,1234
"65","down",0.46,0.698137404134955,0.798787878787879,0.678550555230859,0.59,0.85632183908046,0.821428571428571,0.863013698630137,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",3,TRUE,4,1234
"66","rose",0.46,0.695151488641997,0.774545454545454,0.679853886616014,0.54,0.82183908045977,0.785714285714286,0.828767123287671,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",5,TRUE,5,1234
"67","up",0.43,0.698982824483131,0.797272727272727,0.67990064289889,0.62,0.844827586206897,0.821428571428571,0.849315068493151,"JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"68","down",0.45,0.702569562301344,0.799545454545454,0.683822326125073,0.64,0.833333333333333,0.821428571428571,0.835616438356164,"JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",4.5,TRUE,4.5,1234
"69","rose",0.43,0.702613303006444,0.797121212121212,0.684623027469316,0.57,0.827586206896552,0.821428571428571,0.828767123287671,"JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",4.5,TRUE,3.5,1234
"70","up",0.54,0.761895605517161,0.710909090909091,0.771583869082408,0.62,0.873563218390805,0.75,0.897260273972603,"Gender,JobInvolvement,JobRole,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",2,TRUE,4.5,1234
"71","down",0.52,0.748154317207594,0.750757575757575,0.747790765634132,0.54,0.833333333333333,0.785714285714286,0.842465753424658,"Gender,JobInvolvement,JobRole,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,2,1234
"72","rose",0.5,0.737355145364943,0.732424242424242,0.738375219170076,0.67,0.873563218390805,0.714285714285714,0.904109589041096,"Gender,JobInvolvement,JobRole,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,5,1234
"73","up",0.52,0.762455194937742,0.706060606060606,0.773389830508475,0.67,0.890804597701149,0.714285714285714,0.924657534246575,"Gender,JobInvolvement,JobRole,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"74","down",0.57,0.785643600734844,0.666212121212121,0.808609000584454,0.71,0.873563218390805,0.678571428571429,0.910958904109589,"Gender,JobInvolvement,JobRole,OverTime,StockOptionLevel,WorkLifeBalance",1,FALSE,1,1234
"75","rose",0.56,0.773050185168985,0.652424242424242,0.796271186440678,0.59,0.867816091954023,0.785714285714286,0.883561643835616,"Gender,JobInvolvement,JobRole,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,4.5,1234
"76","up",0.44,0.68392546583851,0.796515151515151,0.662267679719462,0.58,0.82183908045977,0.785714285714286,0.828767123287671,"JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",2,TRUE,3,1234
"77","down",0.5,0.710546758813752,0.76969696969697,0.699310344827586,0.6,0.85632183908046,0.785714285714286,0.86986301369863,"JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",3,TRUE,5,1234
"78","rose",0.58,0.776992855684834,0.666363636363636,0.798234950321449,0.67,0.873563218390805,0.75,0.897260273972603,"JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",2.5,TRUE,1,1234
"79","up",0.45,0.699166593765491,0.768181818181818,0.68594389246055,0.56,0.839080459770115,0.857142857142857,0.835616438356164,"Department,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,2,1234
"80","down",0.53,0.742341702388243,0.704848484848485,0.749380479251899,0.53,0.804597701149425,0.821428571428571,0.801369863013699,"Department,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2.5,TRUE,1,1234
"81","rose",0.43,0.684408188259995,0.795454545454545,0.663167738164816,0.6,0.879310344827586,0.785714285714286,0.897260273972603,"Department,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4,TRUE,1.5,1234
"82","up",0.48,0.724245472837022,0.777575757575757,0.713740502630041,0.65,0.873563218390805,0.785714285714286,0.89041095890411,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance,YearsWithCurrManager",4,TRUE,1,1234
"83","down",0.57,0.76472487096492,0.731515151515151,0.770981881940386,0.62,0.885057471264368,0.785714285714286,0.904109589041096,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance,YearsWithCurrManager",4,TRUE,1,1234
"84","rose",0.48,0.728713556702534,0.772272727272727,0.720403272939801,0.6,0.879310344827586,0.75,0.904109589041096,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance,YearsWithCurrManager",3.5,TRUE,1,1234
